feature,label
C:\ASL_Project\asl_training\features_normalized\START\8898769288524875-START.npy,START
C:\ASL_Project\asl_training\features_normalized\HELLO\7613696736100914-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features_normalized\THANK YOU\021145910536055412-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features_normalized\WHEN\6225121332593893-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features_normalized\HELLO\7648996670040624-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features_normalized\GOOD\7085041042230886-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features_normalized\WE\193766215011427-WE.npy,WE
C:\ASL_Project\asl_training\features_normalized\WHEN\5215592040153327-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features_normalized\THANK YOU\8487114823108493-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features_normalized\HELLO\3283413810240037-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features_normalized\WE\16994877911771145-WE.npy,WE
C:\ASL_Project\asl_training\features_normalized\YES\5327840336837257-YES.npy,YES
C:\ASL_Project\asl_training\features_normalized\HELP\5574926687456125-HELP.npy,HELP
C:\ASL_Project\asl_training\features_normalized\THANK YOU\39425766670939555-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features_normalized\PLEASE\4782730717831809-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features_normalized\WHY\6220173213417262-WHY.npy,WHY
C:\ASL_Project\asl_training\features_normalized\YES\7442618628569746-YES.npy,YES
C:\ASL_Project\asl_training\features_normalized\YES\1555998439795525-YES.npy,YES
C:\ASL_Project\asl_training\features_normalized\NAME\5949494391929417-NAME.npy,NAME
C:\ASL_Project\asl_training\features_normalized\NO\08228267952066615-NO.npy,NO
C:\ASL_Project\asl_training\features_normalized\MORE\033095312435714064-MORE.npy,MORE
C:\ASL_Project\asl_training\features_normalized\LOVE\0430014058082695-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features_normalized\NAME\45850991964011034-NAME.npy,NAME
C:\ASL_Project\asl_training\features_normalized\NAME\7157719195212653-NAME.npy,NAME
C:\ASL_Project\asl_training\features_normalized\MORE\813443212118808-MORE.npy,MORE
C:\ASL_Project\asl_training\features_normalized\YES\9092689562509508-YES.npy,YES
C:\ASL_Project\asl_training\features_normalized\WHY\15735328773357837-WHY.npy,WHY
C:\ASL_Project\asl_training\features_normalized\NAME\418905208580302-NAME.npy,NAME
C:\ASL_Project\asl_training\features_normalized\LOVE\6414476924051264-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features_normalized\THANK YOU\034197610787212396-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features_normalized\SORRY\7965960158855614-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features_normalized\PLEASE\3584447878251358-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features_normalized\GOOD\04311614622944249-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features_normalized\MORE\8385294089384643-MORE.npy,MORE
C:\ASL_Project\asl_training\features_normalized\SORRY\6724466474942836-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features_normalized\PLEASE\6330094542104612-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features_normalized\WHEN\06593189811311206-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features_normalized\START\39098476735830334-START.npy,START
C:\ASL_Project\asl_training\features_normalized\WHERE\03717365663139738-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features_normalized\STOP\6679488064816475-STOP.npy,STOP
C:\ASL_Project\asl_training\features_normalized\HELP\8534077485600235-HELP.npy,HELP
C:\ASL_Project\asl_training\features_normalized\NO\6137110171725737-NO.npy,NO
C:\ASL_Project\asl_training\features_normalized\LIKE\5814218831348728-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features_normalized\PLEASE\6400788027798874-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features_normalized\SORRY\5865603235099206-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features_normalized\YES\029563612799205163-YES.npy,YES
C:\ASL_Project\asl_training\features_normalized\HELLO\7027473793210652-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features_normalized\PLEASE\42961246858695024-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features_normalized\BAD\9739528719901436-BAD.npy,BAD
C:\ASL_Project\asl_training\features_normalized\GOOD\22413626372355933-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features_normalized\HELP\7816987530892228-HELP.npy,HELP
C:\ASL_Project\asl_training\features_normalized\WHEN\48576039738055954-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features_normalized\BAD\019466731254031755-BAD.npy,BAD
C:\ASL_Project\asl_training\features_normalized\HELP\3000270038189985-HELP.npy,HELP
C:\ASL_Project\asl_training\features_normalized\YOU\298155207775465-YOU.npy,YOU
C:\ASL_Project\asl_training\features_normalized\STOP\1461467422069449-STOP.npy,STOP
C:\ASL_Project\asl_training\features_normalized\STOP\21416838482074008-STOP.npy,STOP
C:\ASL_Project\asl_training\features_normalized\YES\15689453699180178-YES.npy,YES
C:\ASL_Project\asl_training\features_normalized\HELLO\0022932153577568393-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features_normalized\STOP\5495256812953944-STOP.npy,STOP
C:\ASL_Project\asl_training\features_normalized\LESS\025934577509988177-LESS.npy,LESS
C:\ASL_Project\asl_training\features_normalized\STOP\21963390619756917-STOP.npy,STOP
C:\ASL_Project\asl_training\features_normalized\WHERE\5194308575650113-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features_normalized\MORE\8341336597329694-MORE.npy,MORE
C:\ASL_Project\asl_training\features_normalized\BAD\09145990846220031-BAD.npy,BAD
C:\ASL_Project\asl_training\features_normalized\MORE\7168321371853796-MORE.npy,MORE
C:\ASL_Project\asl_training\features_normalized\NAME\5230881244500567-NAME.npy,NAME
C:\ASL_Project\asl_training\features_normalized\WE\5516631277912989-WE.npy,WE
C:\ASL_Project\asl_training\features_normalized\UNDERSTAND\5169212541197368-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features_normalized\WHY\5132756077874947-WHY.npy,WHY
C:\ASL_Project\asl_training\features_normalized\WE\5346957049353451-WE.npy,WE
C:\ASL_Project\asl_training\features_normalized\WHEN\6328147846440941-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features_normalized\START\4265612639832259-START.npy,START
C:\ASL_Project\asl_training\features_normalized\NAME\07550237967516482-NAME.npy,NAME
C:\ASL_Project\asl_training\features_normalized\WE\6257769266405475-WE.npy,WE
C:\ASL_Project\asl_training\features_normalized\YOU\677386009297865-YOU.npy,YOU
C:\ASL_Project\asl_training\features_normalized\STOP\787967286498557-STOP.npy,STOP
C:\ASL_Project\asl_training\features_normalized\NAME\20739960328931106-NAME.npy,NAME
C:\ASL_Project\asl_training\features_normalized\PLEASE\9004431867747704-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features_normalized\NO\8323715285073319-NO.npy,NO
C:\ASL_Project\asl_training\features_normalized\THANK YOU\15769775934939156-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features_normalized\WHEN\5795834263184414-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features_normalized\YOU\2585581282288061-YOU.npy,YOU
C:\ASL_Project\asl_training\features_normalized\YES\9715589334909431-YES.npy,YES
C:\ASL_Project\asl_training\features_normalized\WHY\8351529407222296-WHY.npy,WHY
C:\ASL_Project\asl_training\features_normalized\STOP\7606933944529259-STOP.npy,STOP
C:\ASL_Project\asl_training\features_normalized\YES\8977694836593926-YES.npy,YES
C:\ASL_Project\asl_training\features_normalized\NO\5309657970849855-NO.npy,NO
C:\ASL_Project\asl_training\features_normalized\SORRY\8989337086309281-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features_normalized\WHERE\19532533865671398-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features_normalized\NO\6645554412949413-NO.npy,NO
C:\ASL_Project\asl_training\features_normalized\WHY\32965084799922706-WHY.npy,WHY
C:\ASL_Project\asl_training\features_normalized\NO\7525332129995586-NO.npy,NO
C:\ASL_Project\asl_training\features_normalized\LESS\2110666143402815-LESS.npy,LESS
C:\ASL_Project\asl_training\features_normalized\SORRY\15179467641851585-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features_normalized\WHERE\9957868929062672-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features_normalized\WHY\7508574803030745-WHY.npy,WHY
C:\ASL_Project\asl_training\features_normalized\YES\16728596536749274-YES.npy,YES
C:\ASL_Project\asl_training\features_normalized\SORRY\29761682879368934-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features_normalized\STOP\19109474570600948-STOP.npy,STOP
C:\ASL_Project\asl_training\features_normalized\YES\7199140986089654-YES.npy,YES
C:\ASL_Project\asl_training\features_normalized\START\27723416720074834-START.npy,START
C:\ASL_Project\asl_training\features_normalized\LOVE\13717057044445125-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features_normalized\WHEN\16115032785858263-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features_normalized\UNDERSTAND\5190569218964376-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features_normalized\NO\7931075492698656-NO.npy,NO
C:\ASL_Project\asl_training\features_normalized\START\09899721690579599-START.npy,START
C:\ASL_Project\asl_training\features_normalized\NO\5328649685588343-NO.npy,NO
C:\ASL_Project\asl_training\features_normalized\UNDERSTAND\6424637597161564-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features_normalized\BAD\5971513744254144-BAD.npy,BAD
C:\ASL_Project\asl_training\features_normalized\GOOD\25290749191933815-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features_normalized\WHEN\01798723214383169-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features_normalized\START\6036512594628762-START.npy,START
C:\ASL_Project\asl_training\features_normalized\THANK YOU\09460259361998125-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features_normalized\UNDERSTAND\9663239092789866-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features_normalized\SORRY\7662883760067802-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features_normalized\WHY\7885296477376487-WHY.npy,WHY
C:\ASL_Project\asl_training\features_normalized\WHERE\34697989347891944-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features_normalized\START\3528429322583728-START.npy,START
C:\ASL_Project\asl_training\features_normalized\NAME\6398020473925876-NAME.npy,NAME
C:\ASL_Project\asl_training\features_normalized\WHERE\9084539059220444-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features_normalized\WE\274934874875824-WE.npy,WE
C:\ASL_Project\asl_training\features_normalized\PLEASE\8449958018804076-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features_normalized\MORE\6684303463308252-MORE.npy,MORE
C:\ASL_Project\asl_training\features_normalized\THANK YOU\274897834577152-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features_normalized\WE\8906582989498535-WE.npy,WE
C:\ASL_Project\asl_training\features_normalized\STOP\49400025068696496-STOP.npy,STOP
C:\ASL_Project\asl_training\features_normalized\NO\9542027365188674-NO.npy,NO
C:\ASL_Project\asl_training\features_normalized\YOU\08882787638193945-YOU.npy,YOU
C:\ASL_Project\asl_training\features_normalized\LOVE\285782838453037-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features_normalized\WE\9375717470846778-WE.npy,WE
C:\ASL_Project\asl_training\features_normalized\LIKE\14992936899376108-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features_normalized\YOU\6198968659630029-YOU.npy,YOU
C:\ASL_Project\asl_training\features_normalized\MORE\05959007956304285-MORE.npy,MORE
C:\ASL_Project\asl_training\features_normalized\MORE\013724247293201763-MORE.npy,MORE
C:\ASL_Project\asl_training\features_normalized\NAME\5439490417710435-NAME.npy,NAME
C:\ASL_Project\asl_training\features_normalized\START\9284158991408038-START.npy,START
C:\ASL_Project\asl_training\features_normalized\SORRY\9287154847825414-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features_normalized\START\4303906374123354-START.npy,START
C:\ASL_Project\asl_training\features_normalized\LOVE\9533808785286948-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features_normalized\THANK YOU\4624064779710624-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features_normalized\BAD\16659435197682293-BAD.npy,BAD
C:\ASL_Project\asl_training\features_normalized\LESS\3092158568977723-LESS.npy,LESS
C:\ASL_Project\asl_training\features_normalized\LESS\06835081820948452-LESS.npy,LESS
C:\ASL_Project\asl_training\features_normalized\HELP\8218136220855874-HELP.npy,HELP
C:\ASL_Project\asl_training\features_normalized\UNDERSTAND\2999107393441156-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features_normalized\HELP\9203747770494983-HELP.npy,HELP
C:\ASL_Project\asl_training\features_normalized\HELP\3982436455452034-HELP.npy,HELP
C:\ASL_Project\asl_training\features_normalized\WHERE\7968041209479837-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features_normalized\WHERE\4223618248504115-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features_normalized\STOP\38330302294288865-STOP.npy,STOP
C:\ASL_Project\asl_training\features_normalized\BAD\2507302256262631-BAD.npy,BAD
C:\ASL_Project\asl_training\features_normalized\LIKE\030195387372940363-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features_normalized\BAD\7628262965013866-BAD.npy,BAD
C:\ASL_Project\asl_training\features_normalized\LIKE\4726973530309644-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features_normalized\WE\8865858542977822-WE.npy,WE
C:\ASL_Project\asl_training\features_normalized\THANK YOU\16270426237316316-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features_normalized\GOOD\9687874710872124-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features_normalized\START\801970867640186-START.npy,START
C:\ASL_Project\asl_training\features_normalized\HELLO\8841964348021558-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features_normalized\START\959479246086911-START.npy,START
C:\ASL_Project\asl_training\features_normalized\YOU\4091388061019394-YOU.npy,YOU
C:\ASL_Project\asl_training\features_normalized\HELP\5043430847938863-HELP.npy,HELP
C:\ASL_Project\asl_training\features_normalized\LIKE\06793339114876251-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features_normalized\YOU\7807683495721192-YOU.npy,YOU
C:\ASL_Project\asl_training\features_normalized\BAD\9411549614200669-BAD.npy,BAD
C:\ASL_Project\asl_training\features_normalized\HELP\032534532433647456-HELP.npy,HELP
C:\ASL_Project\asl_training\features_normalized\HELLO\9203138462369036-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features_normalized\LESS\054512253332980265-LESS.npy,LESS
C:\ASL_Project\asl_training\features_normalized\GOOD\6983847344301657-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features_normalized\YES\41279108584600577-YES.npy,YES
C:\ASL_Project\asl_training\features_normalized\PLEASE\583219774394824-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features_normalized\THANK YOU\35156313213734314-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features_normalized\LOVE\5046064121660587-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features_normalized\START\18446305030701837-START.npy,START
C:\ASL_Project\asl_training\features_normalized\NAME\38747687874121217-NAME.npy,NAME
C:\ASL_Project\asl_training\features_normalized\NAME\7680995774148371-NAME.npy,NAME
C:\ASL_Project\asl_training\features_normalized\HELP\6967335705063062-HELP.npy,HELP
C:\ASL_Project\asl_training\features_normalized\LIKE\05351672702445809-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features_normalized\GOOD\5948912677856568-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features_normalized\SORRY\675487631009581-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features_normalized\MORE\6785155090626982-MORE.npy,MORE
C:\ASL_Project\asl_training\features_normalized\START\8601200936840461-START.npy,START
C:\ASL_Project\asl_training\features_normalized\STOP\08870380386555654-STOP.npy,STOP
C:\ASL_Project\asl_training\features_normalized\WE\2541378389097124-WE.npy,WE
C:\ASL_Project\asl_training\features_normalized\START\04372360875999326-START.npy,START
C:\ASL_Project\asl_training\features_normalized\GOOD\4843579408025589-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features_normalized\WHERE\09379414966671162-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features_normalized\LESS\44924622999479924-LESS.npy,LESS
C:\ASL_Project\asl_training\features_normalized\GOOD\7791424980867376-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features_normalized\MORE\7267227999834953-MORE.npy,MORE
C:\ASL_Project\asl_training\features_normalized\YES\7199652013477922-YES.npy,YES
C:\ASL_Project\asl_training\features_normalized\LESS\5517947193894646-LESS.npy,LESS
C:\ASL_Project\asl_training\features_normalized\HELP\1512241224851143-HELP.npy,HELP
C:\ASL_Project\asl_training\features_normalized\NO\09714329486323847-NO.npy,NO
C:\ASL_Project\asl_training\features_normalized\WHEN\7219560821026212-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features_normalized\LOVE\23909248218883028-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features_normalized\HELLO\20675411351630046-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features_normalized\THANK YOU\5932207271660643-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features_normalized\SORRY\258135021561094-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features_normalized\SORRY\8594289353554898-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features_normalized\LOVE\499380155781485-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features_normalized\LESS\775934637445302-LESS.npy,LESS
C:\ASL_Project\asl_training\features_normalized\THANK YOU\06476990357042611-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features_normalized\LIKE\8940965995167087-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features_normalized\LIKE\6630595446275149-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features_normalized\UNDERSTAND\9717361996927067-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features_normalized\GOOD\9756165063743225-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features_normalized\HELLO\7597723277213178-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features_normalized\YOU\7924736335453846-YOU.npy,YOU
C:\ASL_Project\asl_training\features_normalized\PLEASE\95072139344285-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features_normalized\HELLO\9441415075906014-HELLO.npy,HELLO
